"row.ID","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumRings","NumAromaticRings","NumAliphaticRings","NumAromaticHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","Chi0v","Chi1v","Chi2v","Chi1n","Chi2n","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN8","MQN9","MQN10","MQN11","MQN13","MQN14","MQN16","MQN17","MQN19","MQN20","MQN21","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN35","MQN36","MQN41","MQN42"
"CSAR_18",3.37224,113.7864,208.3641087,102.93,393.491,393.2164751,7,4,12,4,5,7,56,56,3,3,0,2,0,1,14.05256456,7.394316268,5.00926562,20.64420534,5.00926562,5.28837117,8.874853646,5.000102934,10.61962671,39.9690256,0,13.70378423,78.42794315,42.55788396,4.235526235,11.25737949,5.948339281,0,0,45.6663184,1.431199657,20.25477367,0,39.44335341,11.8687986,64.94216643,11.25737949,11.85551901,20.70543817,4.794537184,9.967957042,0,0,29.73312632,44.57689016,40.37623706,33.34914982,5.693927995,4.235526235,7.379538938,5.907179729,0,22,0,0,2,3,2,0,40,1,9,8,12,9,7,1,1,3,7,2,15,0,1,2,0,0
"CSAR_20",3.07972,120.0882,222.1433084,123.16,443.935,443.1724174,8,5,13,5,6,9,57,57,3,3,0,2,0,1,15.59470627,8.165387123,5.553274402,20.44556002,5.175309929,6.537881797,10.3881468,5.605540716,10.61962671,53.06801869,0,6.851892117,69.64400733,42.55788396,9.258159549,11.25737949,5.948339281,0,11.60093989,48.03360948,2.862399314,20.25477367,0,32.11249407,18.42778384,64.40134825,11.25737949,23.4564589,25.81424636,4.794537184,9.967957042,0,0,30.53766942,42.47897613,33.89794368,48.66754465,5.693927995,4.235526235,8.810738595,5.907179729,0,22,0,1,2,3,3,0,41,1,9,8,13,11,8,2,2,3,7,2,15,0,1,2,0,0
"Model_54",4.9811,117.5234,210.726959,93.8,459.308,458.0712594,6,4,7,4,3,9,48,48,4,4,0,2,0,2,16.25110227,8.772764732,6.298124281,16.26672486,5.542195335,8.781029711,8.931993221,4.485518306,5.309813353,34.17356446,0,5.817220841,39.88967037,60.68514008,14.28079286,22.38428247,4.390415048,0,23.20187978,36.34914789,1.431199657,20.47720499,0,6.017892468,6.558985243,87.80500704,22.38428247,29.10905951,15.39562481,9.886243742,4.390415048,5.098681808,0,41.3291359,41.33899652,22.32243151,47.28619546,11.51114884,4.235526235,1.431199657,5.907179729,0,22,1,2,1,3,2,0,28,1,11,11,7,8,6,4,1,2,2,1,21,0,2,2,0,0
"Model_52",4.54952,129.3934,230.6913187,102.93,441.535,441.2164751,7,4,11,4,5,7,60,60,4,4,0,2,0,2,16.05256456,8.644316268,5.75926562,21.89420534,5.75926562,6.545572912,10.09976561,5.098996268,10.61962671,33.95113313,6.372924901,6.851892117,71.57605103,72.7699775,4.235526235,11.25737949,11.63572556,0,0,45.6663184,1.431199657,20.25477367,0,26.0946016,11.8687986,95.15425997,11.25737949,17.54290529,20.70543817,4.794537184,9.967957042,0,0,55.19124178,42.00000891,34.56269664,38.83218405,5.693927995,4.235526235,7.379538938,5.907179729,0,26,0,0,2,3,2,0,39,1,12,11,11,9,7,1,1,3,5,2,21,0,1,3,0,0
"Model_53",4.65772,138.1294,249.8167049,121.39,507.978,507.167332,9,4,13,4,7,10,62,62,4,4,0,2,0,2,18.00295456,9.527759558,6.563584765,21.89968416,6.185620292,8.222844241,11.10742809,5.424538701,20.09335261,48.02703805,0,6.851892117,57.78994887,60.68514008,9.258159549,11.25737949,11.63572556,11.49902367,11.60093989,53.76928575,1.431199657,20.25477367,0,12.86978459,25.94470351,82.52860437,22.75640315,29.14384518,30.17916408,4.794537184,9.967957042,0,0,29.72819601,48.19088864,27.0441509,64.07850947,5.693927995,15.7345499,7.379538938,5.907179729,0,26,0,1,2,3,4,0,41,1,12,11,13,13,9,2,3,3,5,2,21,0,1,3,0,0
"CSAR_17",1.77302,116.9029,213.4815563,149.1,464.935,464.1033518,10,5,11,5,7,12,52,52,3,3,0,2,0,1,16.17491303,9.347751173,6.635950127,17.72682604,5.144553658,7.853289912,9.434145098,6.012240699,15.55275191,48.55285422,10.02329115,6.851892117,49.56539753,42.55788396,10.67000163,11.25737949,5.948339281,0,11.60093989,45.90064757,1.431199657,25.07889607,0,12.86978459,18.16172549,64.40134825,11.25737949,33.47975005,15.39562481,10.21335333,18.38575403,0,4.824122407,23.68577731,36.10605122,31.15642656,38.16231537,5.693927995,5.647368313,17.40283009,5.907179729,0,19,0,1,3,3,4,0,34,3,9,8,11,14,10,4,1,4,5,2,15,0,1,2,0,0
"CSAR_15",2.98374,109.1914,199.1892256,102.93,379.464,379.200825,7,4,11,4,5,7,53,53,3,3,0,2,0,1,13.55256456,7.144316268,4.772462221,19.39420534,4.772462221,5.239844158,8.665559553,4.373242228,10.61962671,40.44799282,0,13.70378423,68.83453392,42.55788396,4.235526235,11.25737949,5.948339281,0,0,42.92480129,1.431199657,20.25477367,0,26.57356882,18.36565828,64.94216643,11.25737949,11.85551901,20.70543817,4.794537184,9.967957042,0,0,29.73312632,37.72499804,39.48444572,31.97839127,5.693927995,4.235526235,7.379538938,5.907179729,0,21,0,0,2,3,2,0,37,1,9,8,11,9,7,1,1,3,6,2,15,0,1,2,0,0
"CSAR_16",4.40544,125.4344,223.059831,115.82,468.97,468.1135226,8,4,10,4,7,10,53,53,4,4,0,3,0,1,16.85841644,9.383221444,6.698110722,18.43864947,5.546749587,7.945474213,9.474261866,4.960135055,10.61962671,38.93511165,0,13.70378423,56.63008408,47.91399837,9.258159549,11.25737949,11.07989776,0,22.93772577,37.44176707,1.431199657,25.23875219,0,19.7216767,11.8687986,75.45139066,11.25737949,39.92480326,20.70543817,4.794537184,14.95193556,0,11.33678588,23.68577731,42.95794334,36.51254097,39.04307782,5.693927995,9.367084715,7.379538938,5.907179729,0,22,0,1,2,4,2,0,33,1,11,11,10,10,8,2,1,3,4,4,18,0,2,2,0,0
"Model_50",5.00592,125.0174,229.7981303,102.93,481.478,481.1725596,7,4,9,4,5,10,57,57,4,4,0,2,0,2,16.68645798,8.961262977,6.132024689,19.71115205,6.132024689,8.795656256,9.979025805,5.492927122,10.61962671,33.95113313,6.176298517,6.851892117,57.87036613,72.7699775,4.235526235,11.25737949,24.8069707,0,0,51.98377076,1.431199657,20.25477367,0,19.0460831,11.8687986,95.15425997,11.25737949,17.54290529,20.70543817,4.794537184,9.967957042,13.17124514,0,42.29693095,36.10605122,22.02151758,50.08302182,5.693927995,4.235526235,7.379538938,5.907179729,6.176298517,25,3,0,2,3,2,0,36,1,12,11,9,9,7,4,1,3,4,2,21,0,1,3,0,0
"Model_51",3.69272,121.6802,217.2224565,123.16,429.48,429.1800896,8,5,10,5,6,8,55,55,4,4,0,2,0,2,15.46081285,8.348440413,5.588389765,19.50657778,5.588389765,6.913624565,9.318082338,4.601295749,10.61962671,40.49114098,0,6.851892117,52.30691464,72.7699775,4.235526235,11.25737949,11.63572556,5.749511833,0,43.92133381,2.862399314,20.25477367,0,12.86978459,11.8687986,89.59080848,17.00689132,17.54290529,25.81424636,4.794537184,9.967957042,0,0,42.29693095,36.10605122,22.02151758,44.51957032,11.44343983,4.235526235,7.379538938,7.338379387,0,24,0,0,2,3,3,0,34,1,12,11,10,11,8,1,2,3,3,2,21,0,1,3,0,0
"CSAR_14",1.00862,111.873,208.9510336,143.39,411.462,411.1906543,9,6,13,6,7,9,55,55,3,3,0,2,0,1,14.36906114,7.552564558,4.963389765,19.61895022,4.963389765,6.129779467,9.968983767,5.008458161,10.61962671,66.16701178,0,6.851892117,53.6776732,48.60030267,4.235526235,11.25737949,5.948339281,0,0,50.40090056,4.293598972,20.25477367,0,18.88767705,24.98676908,65.42113365,11.25737949,11.85551901,30.92305455,4.794537184,9.967957042,0,0,30.21209354,24.02121381,22.02151758,59.33880556,5.693927995,4.235526235,10.24193825,5.907179729,0,21,0,0,2,3,4,0,39,1,9,8,13,13,9,1,3,3,6,2,15,0,1,2,0,0
"Model_48",5.43302,129.9934,232.8987088,102.93,500.361,499.0978085,7,4,9,4,5,10,54,54,4,4,0,2,0,2,17.69831587,9.467191923,6.707141276,18.46115205,5.95121233,9.296795564,10.21218996,5.361513695,10.61962671,33.95113313,0,12.66911296,49.56539753,60.68514008,14.28079286,11.25737949,16.0261406,0,23.20187978,40.46142356,1.431199657,20.25477367,0,12.86978459,11.8687986,93.36845853,11.25737949,40.74478507,20.70543817,4.794537184,14.35837209,0,0,35.2867172,54.23330735,32.06678421,41.77805321,11.51114884,4.235526235,7.379538938,5.907179729,0,24,1,2,2,3,2,0,33,1,12,11,9,9,7,4,1,3,3,2,21,0,1,3,0,0
"Model_49",5.60234,134.7724,239.313027,102.93,496.398,495.1228803,7,4,10,4,5,9,57,57,4,4,0,2,0,2,17.8203514,9.528209687,6.768159039,20.02216982,6.012230093,8.374402577,10.25705964,5.390137946,10.61962671,33.95113313,0,13.70378423,59.24112469,60.68514008,14.28079286,11.25737949,11.63572556,0,23.20187978,40.18328418,1.431199657,20.25477367,0,19.7216767,11.8687986,93.11468918,11.25737949,40.74478507,20.70543817,4.794537184,9.967957042,0,0,35.2867172,66.64865096,41.86644615,36.09066694,5.693927995,4.235526235,7.379538938,5.907179729,0,25,0,2,2,3,2,0,36,1,12,11,10,9,7,3,1,3,4,2,21,0,1,3,0,0
"Model_46",5.4954,122.5754,216.8646898,93.8,475.763,474.0417088,6,4,7,4,3,9,48,48,4,4,0,2,0,2,17.00703122,9.150729206,6.676088754,16.26672486,5.542195335,8.998531411,9.157797732,4.778112996,5.309813353,34.17356446,0,0,39.88967037,60.68514008,19.30342618,22.38428247,0,0,34.80281967,31.95873284,1.431199657,20.47720499,0,6.017892468,6.558985243,87.01041951,22.38428247,40.7099994,15.39562481,9.886243742,0,5.098681808,0,46.88765709,47.38141523,32.36769814,42.26356215,5.693927995,4.235526235,1.431199657,5.907179729,0,22,0,3,1,3,2,0,28,1,11,11,7,8,6,4,1,2,2,1,21,0,2,2,0,0
"CSAR_13",4.94894,129.7624,230.4147313,102.93,461.953,461.1618527,7,4,10,4,5,8,57,57,4,4,0,2,0,2,16.68645798,8.961262977,6.20121233,20.33318758,5.823247857,7.413532089,9.851844255,5.391906507,10.61962671,33.95113313,0,13.70378423,60.61188325,66.72755879,9.258159549,11.25737949,11.63572556,0,11.60093989,41.55404273,1.431199657,20.25477367,0,19.7216767,11.8687986,94.13447457,11.25737949,29.14384518,20.70543817,4.794537184,9.967957042,0,0,41.33406621,55.04278076,36.84381284,37.46142549,5.693927995,4.235526235,7.379538938,5.907179729,0,25,0,1,2,3,2,0,36,1,12,11,10,9,7,2,1,3,4,2,21,0,1,3,0,0
"CSAR_34",3.2471,106.9389,185.0144565,157.42,392.379,392.1345364,11,5,6,5,7,11,45,45,5,4,1,3,0,1,13.80245364,7.678947292,5.41292013,15.41501527,5.41292013,7.027134484,6.476220049,3.287746557,16.1788936,30.28109105,0,10.11431827,39.4120796,41.04904943,7.059210392,10.90292493,28.82836088,0,0,27.06086556,0,25.35778,0,18.63980749,10.61962671,62.41656259,0,39.73128581,10.61962671,30.18397513,4.983978521,5.098681808,0,0,36.91552463,30.51997416,29.74471531,11.63572556,7.059210392,5.817862778,5.559266895,5.687386275,18,0,0,3,5,3,0,23,2,14,10,6,15,11,3,0,3,0,2,18,3,2,2,2,1
